# Enumeration map for FSM: bank_controller_fsm_logic
# 22 states -> 5 bit(s)
# IDLE is always assigned encoding 0
# ERROR is always assigned the highest encoding
# ERROR was synthesised (not present in source CSV)
#
# state_name                      decimal  binary
# --------------------------------------------------
  IDLE                                  0  00000  # IDLE (forced 0)
  LD_WAIT_0                             1  00001
  LD_WAIT_1                             2  00010
  LD_WAIT_2                             3  00011
  LD_WAIT_3                             4  00100
  LD_WAIT_4                             5  00101
  LD_WAIT_5                             6  00110
  LD_WAIT_6                             7  00111
  LD_WAIT_7                             8  01000
  ST_ADDR_WAIT_0                        9  01001
  ST_ADDR_WAIT_1                       10  01010
  ST_ADDR_WAIT_2                       11  01011
  ST_ADDR_WAIT_3                       12  01100
  ST_WRITE_WAIT_0                      13  01101
  ST_WRITE_WAIT_1                      14  01110
  ST_WRITE_WAIT_2                      15  01111
  ST_WRITE_WAIT_3                      16  10000
  ST_WRITE_WAIT_4                      17  10001
  ST_WRITE_WAIT_5                      18  10010
  ST_WRITE_WAIT_6                      19  10011
  ST_WRITE_WAIT_7                      20  10100
  ERROR                                21  10101  # ERROR (highest), synthesised
